id,name,type,status,layer,module,feature,description,file_path,related_files,parent_id,child_ids,depends_on,used_by,ui_related,api_related,database_related,tests_related,docs_related,agent_related,risk_level,completion_percent,last_verified_at,verification_status,notes,tags
DOC-ARCH-EVIDENCE-SYSTEM,Architecture evidence source doc,documentation,verified,docs,architecture,architecture-evidence,Canonical rules for the architecture evidence system.,docs/architecture/architecture-evidence-system.md,,FEAT-ARCH-EVIDENCE-SYSTEM,,DOC-ARCH-SOURCE-OF-TRUTH,AGENT-COORDINATOR,,,,TEST-ARCH-GRAPH,DOC-ARCH-SOURCE-OF-TRUTH,AGENT-COORDINATOR,low,80,2026-05-24,verified,Created as source-of-truth documentation for the registry foundation.,#docs #architecture
DOC-ARCH-SOURCE-OF-TRUTH,Architecture source of truth,documentation,verified,docs,architecture,cross-app,Defines approved architecture decision rules and constraints.,docs/architecture/architecture-source-of-truth.md,,DOC-ARCH-README,,,AGENT-COORDINATOR,,,,,DOC-ARCH-README,AGENT-COORDINATOR,low,100,2026-05-24,verified,Existing canonical architecture governance document.,#architecture #governance
DOC-ARCH-README,Architecture README,documentation,verified,docs,architecture,cross-app,Defines architecture documentation ownership and reading order.,docs/architecture/README.md,,DOC-ARCH-SOURCE-OF-TRUTH,,DOC-ARCH-SOURCE-OF-TRUTH,AGENT-COORDINATOR,,,,,,AGENT-COORDINATOR,low,100,2026-05-24,verified,Updated to include the evidence system.,#architecture #docs
DOC-MGMT-DEPT-CONTRACT,Management department catalog task contract,documentation,verified,planning,management,management-department-catalog,Task contract and proof for MGMT-DEPT-001.,docs/planning/management-department-catalog-task-contract.md,,FEAT-MGMT-DEPT-CATALOG,,,AGENT-COORDINATOR,,,,,,AGENT-COORDINATOR,low,100,2026-05-24,verified,Fresh task evidence from 2026-05-24.,#planning #evidence
DOC-OPS-WORK-ITEM-CONTRACT,Operations foundation task contract,documentation,verified,planning,operations,operations-work-items,"Task and proof source for dashboard, operations work item, responsibility, and schedule foundation.",docs/planning/dashboard-operations-workforce-foundation-task-contract.md,,FEAT-OPERATIONS-WORK-ITEMS,,,AGENT-COORDINATOR,,,,,,AGENT-COORDINATOR,low,100,2026-05-20,verified,Fresh evidence from 2026-05-20 foundation slice.,#planning #evidence
DOC-DASHBOARD-CONTRACT,Dashboard operations workforce foundation contract,documentation,verified,planning,dashboard,dashboard-command,Task and proof source for the dashboard command packet.,docs/planning/dashboard-operations-workforce-foundation-task-contract.md,,FEAT-DASHBOARD-COMMAND,,,AGENT-COORDINATOR,,,,,,AGENT-COORDINATOR,low,100,2026-05-20,verified,Fresh evidence from 2026-05-20.,#planning #evidence
DOC-PEOPLE-AGENTS-CONTRACT,People/Agents premium UX contract,documentation,verified,planning,workforce,people-agents-directory,Task and proof source for People/Agents premium table and profile slice.,docs/planning/people-agents-directory-premium-ux-task-contract.md,,FEAT-PEOPLE-AGENTS-DIRECTORY,,,AGENT-COORDINATOR,,,,,,AGENT-COORDINATOR,low,100,2026-05-19,verified,Fresh proof from 2026-05-19.,#planning #evidence
DOC-ASSETS-CONTEXT-CONTRACT,Assets context task contract,documentation,verified,planning,assets,assets-context,Task and proof source for Assets context read model and workbench.,docs/planning/cc-08-002-assets-context-read-api-task-contract.md,,FEAT-ASSETS-CONTEXT,,,AGENT-COORDINATOR,,,,,,AGENT-COORDINATOR,low,100,2026-05-17,verified,Historical proof source for Assets context API.,#planning #evidence
DOC-OPS-AGENT-RUNTIME-LEDGER,Operations agent runtime coverage ledger,documentation,verified,operations,assets,assets-context,Production smoke evidence ledger for provider runtime journeys including Drive import/freshness baseline.,docs/operations/agent-runtime-coverage-ledger.csv,docs/operations/post-deploy-smoke.md,FEAT-ASSETS-CONTEXT,,DOC-ASSETS-CONTEXT-CONTRACT,AGENT-COORDINATOR,,,,,TEST-PROD-DRIVE-IMPORT-SMOKE,AGENT-COORDINATOR,medium,90,2026-05-24,verified,AGRUN-COV-006 captures real owner consent and production scoped Drive import/readback evidence.,#docs #operations #evidence
DOC-TESTING,Testing documentation,documentation,verified,docs,testing,cross-app,Project testing commands and expectations.,docs/engineering/testing.md,,DOC-ARCH-SOURCE-OF-TRUTH,,DOC-ARCH-SOURCE-OF-TRUTH,AGENT-COORDINATOR,,,,,,AGENT-COORDINATOR,low,90,2026-05-18,verified,Existing testing source updated by prior validation gate work.,#testing #docs
