id,name,type,status,layer,module,feature,description,file_path,related_files,parent_id,child_ids,depends_on,used_by,ui_related,api_related,database_related,tests_related,docs_related,agent_related,risk_level,completion_percent,last_verified_at,verification_status,notes,tags
INT-AUTO-0001,Clickup.Client,integration,implemented,integration,integrations,assets-context,Auto-synchronized integration node from repository source.,src/integrations/clickup/clickup.client.ts,,FEAT-ASSETS-CONTEXT,,,,,,,,,,medium,0,2026-05-24,tested,Auto-generated by sync-architecture-extended-registry.,#integration #auto
INT-AUTO-0002,Clickup.Maintenance Scheduler,integration,implemented,integration,integrations,assets-context,Auto-synchronized integration node from repository source.,src/integrations/clickup/clickup.maintenance-scheduler.ts,,FEAT-ASSETS-CONTEXT,,,,,,,,,,medium,0,2026-05-24,tested,Auto-generated by sync-architecture-extended-registry.,#integration #auto
INT-AUTO-0003,Clickup.Mapper,integration,implemented,integration,integrations,assets-context,Auto-synchronized integration node from repository source.,src/integrations/clickup/clickup.mapper.ts,,FEAT-ASSETS-CONTEXT,,,,,,,,,,medium,0,2026-05-24,tested,Auto-generated by sync-architecture-extended-registry.,#integration #auto
INT-AUTO-0004,Clickup.Sync,integration,implemented,integration,integrations,assets-context,Auto-synchronized integration node from repository source.,src/integrations/clickup/clickup.sync.ts,,FEAT-ASSETS-CONTEXT,,,,,,,,,,medium,0,2026-05-24,tested,Auto-generated by sync-architecture-extended-registry.,#integration #auto
INT-AUTO-0005,Clickup.Webhooks,integration,implemented,integration,integrations,assets-context,Auto-synchronized integration node from repository source.,src/integrations/clickup/clickup.webhooks.ts,,FEAT-ASSETS-CONTEXT,,,,,,,,,,medium,0,2026-05-24,tested,Auto-generated by sync-architecture-extended-registry.,#integration #auto
INT-AUTO-0006,Webhook Signature,integration,implemented,integration,integrations,assets-context,Auto-synchronized integration node from repository source.,src/integrations/clickup/webhook-signature.ts,,FEAT-ASSETS-CONTEXT,,,,,,,,,,medium,0,2026-05-24,tested,Auto-generated by sync-architecture-extended-registry.,#integration #auto
INT-AUTO-0007,Errors,integration,implemented,integration,integrations,assets-context,Auto-synchronized integration node from repository source.,src/integrations/errors.ts,,FEAT-ASSETS-CONTEXT,,,,,,,,,,medium,0,2026-05-24,tested,Auto-generated by sync-architecture-extended-registry.,#integration #auto
INT-AUTO-0008,Google Drive.Auth,integration,implemented,integration,integrations,assets-context,Auto-synchronized integration node from repository source.,src/integrations/google-drive/google-drive.auth.ts,,FEAT-ASSETS-CONTEXT,,,,,,,,,,medium,0,2026-05-24,tested,Auto-generated by sync-architecture-extended-registry.,#integration #auto
INT-AUTO-0009,Google Drive.Client,integration,implemented,integration,integrations,assets-context,Auto-synchronized integration node from repository source.,src/integrations/google-drive/google-drive.client.ts,,FEAT-ASSETS-CONTEXT,,,,,,,,,,medium,0,2026-05-24,tested,Auto-generated by sync-architecture-extended-registry.,#integration #auto
INT-AUTO-0010,Google Drive.Content,integration,implemented,integration,integrations,assets-context,Auto-synchronized integration node from repository source.,src/integrations/google-drive/google-drive.content.ts,,FEAT-ASSETS-CONTEXT,,,,,,,,,,medium,0,2026-05-24,tested,Auto-generated by sync-architecture-extended-registry.,#integration #auto
INT-AUTO-0011,Google Drive.Sync,integration,implemented,integration,integrations,assets-context,Auto-synchronized integration node from repository source.,src/integrations/google-drive/google-drive.sync.ts,,FEAT-ASSETS-CONTEXT,,,,,,,,,,medium,0,2026-05-24,tested,Auto-generated by sync-architecture-extended-registry.,#integration #auto
INT-AUTO-0012,Integration Settings.Service,integration,implemented,integration,integrations,assets-context,Auto-synchronized integration node from repository source.,src/integrations/integration-settings.service.ts,,FEAT-ASSETS-CONTEXT,,,,,,,,,,medium,0,2026-05-24,tested,Auto-generated by sync-architecture-extended-registry.,#integration #auto
INT-AUTO-0013,Secrets,integration,implemented,integration,integrations,assets-context,Auto-synchronized integration node from repository source.,src/integrations/secrets.ts,,FEAT-ASSETS-CONTEXT,,,,,,,,,,medium,0,2026-05-24,tested,Auto-generated by sync-architecture-extended-registry.,#integration #auto
