id,name,type,status,layer,module,feature,description,file_path,related_files,parent_id,child_ids,depends_on,used_by,ui_related,api_related,database_related,tests_related,docs_related,agent_related,risk_level,completion_percent,last_verified_at,verification_status,notes,tags
FEAT-ARCH-EVIDENCE-SYSTEM,Architecture Evidence System,feature,implemented,governance,architecture,architecture-evidence,Obsidian-first CSV registry and generated graph system for architecture evidence.,docs/architecture/architecture-evidence-system.md,docs/architecture/nodes/nodes.csv;scripts/generate-architecture-graph.mjs,,DOC-ARCH-EVIDENCE-SYSTEM;SCRIPT-ARCH-GRAPH-GENERATOR;CSV-NODES;CSV-RELATIONS;CSV-CHAINS;CSV-TESTS,DOC-ARCH-SOURCE-OF-TRUTH,AGENT-COORDINATOR,,,,TEST-ARCH-GRAPH,DOC-ARCH-EVIDENCE-SYSTEM,AGENT-COORDINATOR,medium,45,2026-05-24,tested,Foundation exists; full repository coverage remains next checkpoint.,#architecture #evidence #obsidian #graph
DOC-ARCH-EVIDENCE-SYSTEM,Architecture evidence source doc,documentation,verified,docs,architecture,architecture-evidence,Canonical rules for the architecture evidence system.,docs/architecture/architecture-evidence-system.md,,FEAT-ARCH-EVIDENCE-SYSTEM,,DOC-ARCH-SOURCE-OF-TRUTH,AGENT-COORDINATOR,,,,TEST-ARCH-GRAPH,DOC-ARCH-SOURCE-OF-TRUTH,AGENT-COORDINATOR,low,80,2026-05-24,verified,Created as source-of-truth documentation for the registry foundation.,#docs #architecture
SCRIPT-ARCH-GRAPH-GENERATOR,Architecture graph generator,script,implemented,tooling,architecture,architecture-evidence,"Validates CSV registries and generates Obsidian Markdown, Mermaid, JSON, and summary output.",scripts/generate-architecture-graph.mjs,,FEAT-ARCH-EVIDENCE-SYSTEM,,CSV-NODES;CSV-RELATIONS;CSV-CHAINS;CSV-TESTS,AGENT-COORDINATOR,,,,TEST-ARCH-GRAPH,DOC-ARCH-EVIDENCE-SYSTEM,AGENT-COORDINATOR,medium,75,2026-05-24,tested,"Validates IDs, relation targets, chain nodes, test links, and evidence links.",#tooling #validation #graph
CSV-NODES,Node registry CSV,registry,implemented,docs,architecture,architecture-evidence,Canonical registry for all mapped project elements.,docs/architecture/nodes/nodes.csv,docs/architecture/nodes/features.csv;docs/architecture/nodes/components.csv;docs/architecture/nodes/api_routes.csv,FEAT-ARCH-EVIDENCE-SYSTEM,,DOC-ARCH-EVIDENCE-SYSTEM,SCRIPT-ARCH-GRAPH-GENERATOR,,,,TEST-ARCH-GRAPH,DOC-ARCH-EVIDENCE-SYSTEM,AGENT-COORDINATOR,medium,30,2026-05-24,tested,Seeded with high-value active surfaces; not yet exhaustive.,#csv #registry
CSV-RELATIONS,Dependency relation CSV,registry,implemented,docs,architecture,architecture-evidence,Canonical directed relations between mapped nodes.,docs/architecture/relations/dependencies.csv,,FEAT-ARCH-EVIDENCE-SYSTEM,,CSV-NODES,SCRIPT-ARCH-GRAPH-GENERATOR,,,,TEST-ARCH-GRAPH,DOC-ARCH-EVIDENCE-SYSTEM,AGENT-COORDINATOR,medium,30,2026-05-24,tested,Seeded relation set covers first chains only.,#csv #relations
CSV-CHAINS,Function chain CSV,registry,implemented,docs,architecture,architecture-evidence,Canonical execution chain mapping for features and functions.,docs/architecture/chains/chains.csv,,FEAT-ARCH-EVIDENCE-SYSTEM,,CSV-NODES,SCRIPT-ARCH-GRAPH-GENERATOR,,,,TEST-ARCH-GRAPH,DOC-ARCH-EVIDENCE-SYSTEM,AGENT-COORDINATOR,high,25,2026-05-24,tested,"First chains cover department catalog, operations work items, and dashboard command.",#csv #chains
CSV-TESTS,Test map CSV,registry,implemented,testing,architecture,architecture-evidence,Canonical test-to-node coverage map.,docs/testing/test-map.csv,,FEAT-ARCH-EVIDENCE-SYSTEM,,CSV-NODES,SCRIPT-ARCH-GRAPH-GENERATOR,,,,TEST-ARCH-GRAPH,DOC-ARCH-EVIDENCE-SYSTEM,AGENT-COORDINATOR,high,25,2026-05-24,tested,Maps current validation gates; individual API subtests need finer rows later.,#csv #tests
DOC-ARCH-SOURCE-OF-TRUTH,Architecture source of truth,documentation,verified,docs,architecture,cross-app,Defines approved architecture decision rules and constraints.,docs/architecture/architecture-source-of-truth.md,,DOC-ARCH-README,,,AGENT-COORDINATOR,,,,,DOC-ARCH-README,AGENT-COORDINATOR,low,100,2026-05-24,verified,Existing canonical architecture governance document.,#architecture #governance
DOC-ARCH-README,Architecture README,documentation,verified,docs,architecture,cross-app,Defines architecture documentation ownership and reading order.,docs/architecture/README.md,,DOC-ARCH-SOURCE-OF-TRUTH,,DOC-ARCH-SOURCE-OF-TRUTH,AGENT-COORDINATOR,,,,,,AGENT-COORDINATOR,low,100,2026-05-24,verified,Updated to include the evidence system.,#architecture #docs
API-DEPARTMENTS-LIST,GET /v1/departments,api_route,verified,backend,departments,management-department-catalog,Workspace-scoped department catalog read endpoint.,src/modules/departments/departments.routes.ts,src/auth/capabilities.ts,FEAT-MGMT-DEPT-CATALOG,,DB-WORKSPACE-DEPARTMENTS,COMP-MANAGEMENT-ROUTE;COMP-SHELL,COMP-MANAGEMENT-ROUTE,API-DEPARTMENTS-LIST,DB-WORKSPACE-DEPARTMENTS,TEST-API-LOCAL,DOC-MGMT-DEPT-CONTRACT,AGENT-COORDINATOR,medium,90,2026-05-24,verified,Fresh evidence from MGMT-DEPT-001; dedicated API subtests remain follow-up.,#api #departments #management
