"entity_id","type","status","name","path","owner","proof"
"agent:agent-checklists:0b1e39f5f6","agent","implemented","Agent Checklists",".agents/checklists/README.md","Engineering Delivery Lead",".agents/checklists/README.md"
"agent:anti-regression-system:9473e90460","agent","implemented","Anti-Regression System",".agents/core/anti-regression.md","Engineering Delivery Lead",".agents/core/anti-regression.md"
"agent:execution-loop:c01d026946","agent","implemented","Execution Loop",".agents/core/execution-loop.md","Engineering Delivery Lead",".agents/core/execution-loop.md"
"agent:mission-control:86ecd445b8","agent","implemented","Mission Control",".agents/core/mission-control.md","Engineering Delivery Lead",".agents/core/mission-control.md"
"agent:agent-operating-system:2f229839b5","agent","implemented","Agent Operating System",".agents/core/operating-system.md","Engineering Delivery Lead",".agents/core/operating-system.md"
"agent:product-delivery-system:bef3a71135","agent","implemented","Product Delivery System",".agents/core/product-delivery-system.md","Engineering Delivery Lead",".agents/core/product-delivery-system.md"
"agent:product-intake-and-decision-handshake:d20b921348","agent","implemented","Product Intake And Decision Handshake",".agents/core/product-intake-and-decision-handshake.md","Engineering Delivery Lead",".agents/core/product-intake-and-decision-handshake.md"
"agent:project-memory-index:8428fccaed","agent","implemented","Project Memory Index",".agents/core/project-memory-index.md","Engineering Delivery Lead",".agents/core/project-memory-index.md"
"agent:quality-gates:d55623d7b6","agent","implemented","Quality Gates",".agents/core/quality-gates.md","Engineering Delivery Lead",".agents/core/quality-gates.md"
"agent:requirements-verification-system:0730ae07c7","agent","implemented","Requirements Verification System",".agents/core/requirements-verification-system.md","Engineering Delivery Lead",".agents/core/requirements-verification-system.md"
"agent:backend-builder:0af4fbb735","agent","implemented","backend-builder",".agents/prompts/backend-builder.md","Engineering Delivery Lead",".agents/prompts/backend-builder.md"
"agent:code-reviewer:5e88200e7b","agent","implemented","code-reviewer",".agents/prompts/code-reviewer.md","Engineering Delivery Lead",".agents/prompts/code-reviewer.md"
"agent:db-migrations:8a8b9e125f","agent","implemented","db-migrations",".agents/prompts/db-migrations.md","Engineering Delivery Lead",".agents/prompts/db-migrations.md"
"agent:frontend-builder:8a06b01964","agent","implemented","frontend-builder",".agents/prompts/frontend-builder.md","Engineering Delivery Lead",".agents/prompts/frontend-builder.md"
"agent:ops-release:1193a6d307","agent","implemented","ops-release",".agents/prompts/ops-release.md","Engineering Delivery Lead",".agents/prompts/ops-release.md"
"agent:planner:5b56a0bd47","agent","implemented","planner",".agents/prompts/planner.md","Engineering Delivery Lead",".agents/prompts/planner.md"
"agent:product-docs:06b3b295a9","agent","implemented","product-docs",".agents/prompts/product-docs.md","Engineering Delivery Lead",".agents/prompts/product-docs.md"
"agent:qa-test:b0c0bd2105","agent","implemented","qa-test",".agents/prompts/qa-test.md","Engineering Delivery Lead",".agents/prompts/qa-test.md"
"agent:security-auditor:63dc9d9ff4","agent","implemented","security-auditor",".agents/prompts/security-auditor.md","Engineering Delivery Lead",".agents/prompts/security-auditor.md"
"agent:agent-reports:5756740a98","agent","implemented","Agent Reports",".agents/reports/README.md","Engineering Delivery Lead",".agents/reports/README.md"
"agent:procedure:c3a7bc0b5d","agent","implemented","Procedure",".agents/skills/_templates/SKILL.template.md","Engineering Delivery Lead",".agents/skills/_templates/SKILL.template.md"
"agent:capture-agent-learnings:cfb51edd20","agent","implemented","Capture Agent Learnings",".agents/skills/capture-agent-learnings/SKILL.md","Engineering Delivery Lead",".agents/skills/capture-agent-learnings/SKILL.md"
"agent:readme:051638d4c8","agent","implemented","README",".agents/skills/README.md","Engineering Delivery Lead",".agents/skills/README.md"
"agent:active-mission-packet:a0e3255194","agent","implemented","Active Mission Packet",".agents/state/active-mission.md","Engineering Delivery Lead",".agents/state/active-mission.md"
"agent:agent-process-evals:143b49414c","agent","implemented","Agent Process Evals",".agents/state/agent-evals.md","Engineering Delivery Lead",".agents/state/agent-evals.md"
"agent:current-focus:5edf18eb23","agent","implemented","Current Focus",".agents/state/current-focus.md","Engineering Delivery Lead",".agents/state/current-focus.md"
"agent:decision-register:73d1cd6fc8","agent","implemented","Decision Register",".agents/state/decision-register.md","Engineering Delivery Lead",".agents/state/decision-register.md"
"agent:delivery-map:704464f41b","agent","implemented","Delivery Map",".agents/state/delivery-map.md","Engineering Delivery Lead",".agents/state/delivery-map.md"
"agent:known-issues:5043444a16","agent","implemented","Known Issues",".agents/state/known-issues.md","Engineering Delivery Lead",".agents/state/known-issues.md"
"agent:module-confidence-ledger:f4e40a82b8","agent","implemented","Module Confidence Ledger",".agents/state/module-confidence-ledger.md","Engineering Delivery Lead",".agents/state/module-confidence-ledger.md"
"agent:next-steps:f65f9bc52d","agent","implemented","Next Steps",".agents/state/next-steps.md","Engineering Delivery Lead",".agents/state/next-steps.md"
"agent:quality-attribute-scenarios:df9832217e","agent","implemented","Quality Attribute Scenarios",".agents/state/quality-attribute-scenarios.md","Engineering Delivery Lead",".agents/state/quality-attribute-scenarios.md"
"agent:regression-log:43781d0a01","agent","implemented","Regression Log",".agents/state/regression-log.md","Engineering Delivery Lead",".agents/state/regression-log.md"
"agent:requirements-verification-matrix:048af4ced3","agent","implemented","Requirements Verification Matrix",".agents/state/requirements-verification-matrix.md","Engineering Delivery Lead",".agents/state/requirements-verification-matrix.md"
"agent:responsibility-learning:82503fb0f6","agent","implemented","Responsibility Learning",".agents/state/responsibility-learning.md","Engineering Delivery Lead",".agents/state/responsibility-learning.md"
"agent:risk-register:a357934902","agent","implemented","Risk Register",".agents/state/risk-register.md","Engineering Delivery Lead",".agents/state/risk-register.md"
"agent:system-health:6c9795d9b5","agent","implemented","System Health",".agents/state/system-health.md","Engineering Delivery Lead",".agents/state/system-health.md"
"agent:agent-tasks:5144b7fe4a","agent","implemented","Agent Tasks",".agents/tasks/README.md","Engineering Delivery Lead",".agents/tasks/README.md"
"agent:agent-hierarchy:4835752b62","agent","implemented","Agent Hierarchy",".agents/workflows/agent-hierarchy.md","Engineering Delivery Lead",".agents/workflows/agent-hierarchy.md"
"agent:codex-power-use-workflow:fa752fdb73","agent","implemented","Codex Power Use Workflow",".agents/workflows/codex-power-use.md","Engineering Delivery Lead",".agents/workflows/codex-power-use.md"
"agent:documentation-governance-workflow:75973b1953","agent","implemented","Documentation Governance Workflow",".agents/workflows/documentation-governance.md","Engineering Delivery Lead",".agents/workflows/documentation-governance.md"
"agent:general-workspace-rules:2b434882d7","agent","implemented","General Workspace Rules",".agents/workflows/general.md","Engineering Delivery Lead",".agents/workflows/general.md"
"agent:responsibility-lanes:5223e4bc50","agent","implemented","Responsibility Lanes",".agents/workflows/responsibility-lanes.md","Engineering Delivery Lead",".agents/workflows/responsibility-lanes.md"
"agent:subagent-orchestration-workflow:7e6a3994c0","agent","implemented","Subagent Orchestration Workflow",".agents/workflows/subagent-orchestration.md","Engineering Delivery Lead",".agents/workflows/subagent-orchestration.md"
"agent:user-collaboration-workflow:98bfb8bc00","agent","implemented","User Collaboration Workflow",".agents/workflows/user-collaboration.md","Engineering Delivery Lead",".agents/workflows/user-collaboration.md"
"agent:world-class-delivery-workflow:8464f9dcd7","agent","implemented","World-Class Delivery Workflow",".agents/workflows/world-class-delivery.md","Engineering Delivery Lead",".agents/workflows/world-class-delivery.md"
"agent:agents-module:31b4780178","agent","implemented","Agents Module","src/modules/agents/README.md","Engineering Delivery Lead","src/modules/agents/README.md"
"api_endpoint:get:1998daec82","api_endpoint","implemented","GET /","src/app.ts#/","Engineering Delivery Lead","src/app.ts"
"api_endpoint:use-agent-events:1b4c65ace9","api_endpoint","implemented","USE /agent-events","src/app.ts#/agent-events","Engineering Delivery Lead","src/app.ts"
"api_endpoint:use-agent-logs:fe1d6cbaa9","api_endpoint","implemented","USE /agent-logs","src/app.ts#/agent-logs","Engineering Delivery Lead","src/app.ts"
"api_endpoint:use-agents:1c136317c6","api_endpoint","implemented","USE /agents","src/app.ts#/agents","Engineering Delivery Lead","src/app.ts"
"api_endpoint:use-api-keys:d7553f1e44","api_endpoint","implemented","USE /api-keys","src/app.ts#/api-keys","Engineering Delivery Lead","src/app.ts"
"api_endpoint:use-assets:ac41eec16d","api_endpoint","implemented","USE /assets","src/app.ts#/assets","Engineering Delivery Lead","src/app.ts"
"api_endpoint:use-auth:d272d61067","api_endpoint","implemented","USE /auth","src/app.ts#/auth","Engineering Delivery Lead","src/app.ts"
"api_endpoint:use-clients:da4494ab5d","api_endpoint","implemented","USE /clients","src/app.ts#/clients","Engineering Delivery Lead","src/app.ts"
"api_endpoint:use-commercial-exceptions:18765c44f9","api_endpoint","implemented","USE /commercial-exceptions","src/app.ts#/commercial-exceptions","Engineering Delivery Lead","src/app.ts"
"api_endpoint:use-company-os:fb1b853293","api_endpoint","implemented","USE /company-os","src/app.ts#/company-os","Engineering Delivery Lead","src/app.ts"
"api_endpoint:use-connection:b52b509477","api_endpoint","implemented","USE /connection","src/app.ts#/connection","Engineering Delivery Lead","src/app.ts"
"api_endpoint:use-dashboard:a4fbc07380","api_endpoint","implemented","USE /dashboard","src/app.ts#/dashboard","Engineering Delivery Lead","src/app.ts"
"api_endpoint:use-deals:2ceaef3b27","api_endpoint","implemented","USE /deals","src/app.ts#/deals","Engineering Delivery Lead","src/app.ts"
"api_endpoint:use-decisions:b29cd45684","api_endpoint","implemented","USE /decisions","src/app.ts#/decisions","Engineering Delivery Lead","src/app.ts"
"api_endpoint:use-departments:876f72fd71","api_endpoint","implemented","USE /departments","src/app.ts#/departments","Engineering Delivery Lead","src/app.ts"
"api_endpoint:use-events:679c33c90e","api_endpoint","implemented","USE /events","src/app.ts#/events","Engineering Delivery Lead","src/app.ts"
"api_endpoint:use-finance:b8821dee32","api_endpoint","implemented","USE /finance","src/app.ts#/finance","Engineering Delivery Lead","src/app.ts"
"api_endpoint:use-goals:da30547c55","api_endpoint","implemented","USE /goals","src/app.ts#/goals","Engineering Delivery Lead","src/app.ts"
"api_endpoint:use-google-drive:2b5bd7ccd8","api_endpoint","implemented","USE /google-drive","src/app.ts#/google-drive","Engineering Delivery Lead","src/app.ts"
"api_endpoint:use-health:8aa829ec00","api_endpoint","implemented","USE /health","src/app.ts#/health","Engineering Delivery Lead","src/app.ts"
"api_endpoint:use-intake:3c22276373","api_endpoint","implemented","USE /intake","src/app.ts#/intake","Engineering Delivery Lead","src/app.ts"
"api_endpoint:use-integration-settings:7da089bd2f","api_endpoint","implemented","USE /integration-settings","src/app.ts#/integration-settings","Engineering Delivery Lead","src/app.ts"
"api_endpoint:use-interactions:eb228af9f5","api_endpoint","implemented","USE /interactions","src/app.ts#/interactions","Engineering Delivery Lead","src/app.ts"
"api_endpoint:use-mcp:3055a10566","api_endpoint","implemented","USE /mcp","src/app.ts#/mcp","Engineering Delivery Lead","src/app.ts"
"api_endpoint:use-notes:c833b4443f","api_endpoint","implemented","USE /notes","src/app.ts#/notes","Engineering Delivery Lead","src/app.ts"
"api_endpoint:use-operating-graph:90c17b9387","api_endpoint","implemented","USE /operating-graph","src/app.ts#/operating-graph","Engineering Delivery Lead","src/app.ts"
"api_endpoint:use-operating-model:dcc5e71b5f","api_endpoint","implemented","USE /operating-model","src/app.ts#/operating-model","Engineering Delivery Lead","src/app.ts"
"api_endpoint:use-operations:f4ce71f687","api_endpoint","implemented","USE /operations","src/app.ts#/operations","Engineering Delivery Lead","src/app.ts"
"api_endpoint:use-pipeline-stages:d21ba6038b","api_endpoint","implemented","USE /pipeline-stages","src/app.ts#/pipeline-stages","Engineering Delivery Lead","src/app.ts"
"api_endpoint:use-process-core:ccf2131793","api_endpoint","implemented","USE /process-core","src/app.ts#/process-core","Engineering Delivery Lead","src/app.ts"
"api_endpoint:use-projects:2ab7f26357","api_endpoint","implemented","USE /projects","src/app.ts#/projects","Engineering Delivery Lead","src/app.ts"
