id,name,type,status,layer,module,feature,description,file_path,related_files,parent_id,child_ids,depends_on,used_by,ui_related,api_related,database_related,tests_related,docs_related,agent_related,risk_level,completion_percent,last_verified_at,verification_status,notes,tags
DB-WORKSPACE-DEPARTMENTS,workspace_departments model,database_model,verified,database,departments,management-department-catalog,Workspace-scoped department catalog persistence model.,prisma/schema.prisma,prisma/migrations/202605241_workspace_departments/migration.sql,FEAT-MGMT-DEPT-CATALOG,,API-DEPARTMENTS-LIST;API-DEPARTMENTS-CREATE;API-DEPARTMENTS-UPDATE,COMP-SHELL,,API-DEPARTMENTS-LIST,DB-WORKSPACE-DEPARTMENTS,TEST-API-LOCAL,DOC-MGMT-DEPT-CONTRACT,AGENT-COORDINATOR,medium,90,2026-05-24,verified,Migration applied during test:api:local with 27 migrations.,#database #departments
DB-TASK,Task model,database_model,verified,database,operations,operations-work-items,Task persistence with Operations responsibility and schedule fields.,prisma/schema.prisma,prisma/migrations/202605201_operations_task_responsibility_schedule/migration.sql,FEAT-OPERATIONS-WORK-ITEMS,,API-OPERATIONS-WORK-ITEMS;API-OPERATIONS-CREATE-WORK-ITEM;API-OPERATIONS-UPDATE-WORK-ITEM,COMP-OPERATIONS-ROUTE,,API-OPERATIONS-WORK-ITEMS,DB-TASK,TEST-API-LOCAL,DOC-OPS-WORK-ITEM-CONTRACT,AGENT-COORDINATOR,medium,90,2026-05-20,verified,Migration and API tests verified locally.,#database #tasks
DB-WORKFORCE-ENTITY,workforce_entities model,database_model,verified,database,workforce,people-agents-directory,Unified human/AI roster model.,prisma/schema.prisma,prisma/migrations/202605171_workforce_entities/migration.sql,FEAT-PEOPLE-AGENTS-DIRECTORY,,API-WORKFORCE-LIST,COMP-PEOPLE-AGENTS-ROUTE,,API-WORKFORCE-LIST,DB-WORKFORCE-ENTITY,TEST-API-LOCAL,DOC-PEOPLE-AGENTS-CONTRACT,AGENT-COORDINATOR,medium,90,2026-05-19,verified,Extended by Paperclip director indexes.,#database #workforce
DB-GOOGLE-DRIVE-FILE,google_drive_files model,database_model,verified,database,assets,assets-context,Imported Google Drive file/folder persistence used by Assets context.,prisma/schema.prisma,prisma/migrations/202605035_google_drive_persistence_foundation/migration.sql,FEAT-ASSETS-CONTEXT,,API-ASSETS-CONTEXT,COMP-ASSETS-ROUTE,,API-ASSETS-CONTEXT,DB-GOOGLE-DRIVE-FILE,TEST-API-LOCAL,DOC-ASSETS-CONTEXT-CONTRACT,AGENT-COORDINATOR,medium,85,2026-05-17,tested,Drive first import is complete; content/write/freshness proof remains follow-up.,#database #assets #drive
DB-AUTO-0001,acceptance_criteria model,database_model,implemented,database,core,coverage-expansion,Auto-scaffolded from Prisma drift report.,prisma/schema.prisma,,,,,,,,,,,,,,2026-05-24,tested,Populate dependencies and evidence links before promotion to canonical registry.,#database #auto-scaffold #missing
DB-AUTO-0002,agent_event_outbox model,database_model,implemented,database,core,coverage-expansion,Auto-scaffolded from Prisma drift report.,prisma/schema.prisma,,,,,,,,,,,,,,2026-05-24,tested,Populate dependencies and evidence links before promotion to canonical registry.,#database #auto-scaffold #missing
DB-AUTO-0003,agent_logs model,database_model,implemented,database,core,coverage-expansion,Auto-scaffolded from Prisma drift report.,prisma/schema.prisma,,,,,,,,,,,,,,2026-05-24,tested,Populate dependencies and evidence links before promotion to canonical registry.,#database #auto-scaffold #missing
DB-AUTO-0004,agents model,database_model,implemented,database,core,coverage-expansion,Auto-scaffolded from Prisma drift report.,prisma/schema.prisma,,,,,,,,,,,,,,2026-05-24,tested,Populate dependencies and evidence links before promotion to canonical registry.,#database #auto-scaffold #missing
DB-AUTO-0005,api_keys model,database_model,implemented,database,core,coverage-expansion,Auto-scaffolded from Prisma drift report.,prisma/schema.prisma,,,,,,,,,,,,,,2026-05-24,tested,Populate dependencies and evidence links before promotion to canonical registry.,#database #auto-scaffold #missing
DB-AUTO-0006,approvals model,database_model,implemented,database,core,coverage-expansion,Auto-scaffolded from Prisma drift report.,prisma/schema.prisma,,,,,,,,,,,,,,2026-05-24,tested,Populate dependencies and evidence links before promotion to canonical registry.,#database #auto-scaffold #missing
DB-AUTO-0007,artifacts model,database_model,implemented,database,core,coverage-expansion,Auto-scaffolded from Prisma drift report.,prisma/schema.prisma,,,,,,,,,,,,,,2026-05-24,tested,Populate dependencies and evidence links before promotion to canonical registry.,#database #auto-scaffold #missing
DB-AUTO-0008,audit_logs model,database_model,implemented,database,core,coverage-expansion,Auto-scaffolded from Prisma drift report.,prisma/schema.prisma,,,,,,,,,,,,,,2026-05-24,tested,Populate dependencies and evidence links before promotion to canonical registry.,#database #auto-scaffold #missing
DB-AUTO-0009,automation_definitions model,database_model,implemented,database,core,coverage-expansion,Auto-scaffolded from Prisma drift report.,prisma/schema.prisma,,,,,,,,,,,,,,2026-05-24,tested,Populate dependencies and evidence links before promotion to canonical registry.,#database #auto-scaffold #missing
DB-AUTO-0010,automation_rules model,database_model,implemented,database,core,coverage-expansion,Auto-scaffolded from Prisma drift report.,prisma/schema.prisma,,,,,,,,,,,,,,2026-05-24,tested,Populate dependencies and evidence links before promotion to canonical registry.,#database #auto-scaffold #missing
DB-AUTO-0011,business_functions model,database_model,implemented,database,core,coverage-expansion,Auto-scaffolded from Prisma drift report.,prisma/schema.prisma,,,,,,,,,,,,,,2026-05-24,tested,Populate dependencies and evidence links before promotion to canonical registry.,#database #auto-scaffold #missing
DB-AUTO-0012,checklist_items model,database_model,implemented,database,core,coverage-expansion,Auto-scaffolded from Prisma drift report.,prisma/schema.prisma,,,,,,,,,,,,,,2026-05-24,tested,Populate dependencies and evidence links before promotion to canonical registry.,#database #auto-scaffold #missing
DB-AUTO-0013,checklist_templates model,database_model,implemented,database,core,coverage-expansion,Auto-scaffolded from Prisma drift report.,prisma/schema.prisma,,,,,,,,,,,,,,2026-05-24,tested,Populate dependencies and evidence links before promotion to canonical registry.,#database #auto-scaffold #missing
DB-AUTO-0014,clients model,database_model,implemented,database,core,coverage-expansion,Auto-scaffolded from Prisma drift report.,prisma/schema.prisma,,,,,,,,,,,,,,2026-05-24,tested,Populate dependencies and evidence links before promotion to canonical registry.,#database #auto-scaffold #missing
DB-AUTO-0015,company_roles model,database_model,implemented,database,core,coverage-expansion,Auto-scaffolded from Prisma drift report.,prisma/schema.prisma,,,,,,,,,,,,,,2026-05-24,tested,Populate dependencies and evidence links before promotion to canonical registry.,#database #auto-scaffold #missing
DB-AUTO-0016,controls model,database_model,implemented,database,core,coverage-expansion,Auto-scaffolded from Prisma drift report.,prisma/schema.prisma,,,,,,,,,,,,,,2026-05-24,tested,Populate dependencies and evidence links before promotion to canonical registry.,#database #auto-scaffold #missing
DB-AUTO-0017,deals model,database_model,implemented,database,core,coverage-expansion,Auto-scaffolded from Prisma drift report.,prisma/schema.prisma,,,,,,,,,,,,,,2026-05-24,tested,Populate dependencies and evidence links before promotion to canonical registry.,#database #auto-scaffold #missing
