id,name,type,status,layer,module,feature,description,file_path,related_files,parent_id,child_ids,depends_on,used_by,ui_related,api_related,database_related,tests_related,docs_related,agent_related,risk_level,completion_percent,last_verified_at,verification_status,notes,tags
API-DEPARTMENTS-LIST,GET /v1/departments,api_route,verified,backend,departments,management-department-catalog,Read workspace department catalog and available linked views.,src/modules/departments/departments.routes.ts,src/auth/capabilities.ts,FEAT-MGMT-DEPT-CATALOG,,DB-WORKSPACE-DEPARTMENTS,COMP-MANAGEMENT-ROUTE;COMP-SHELL,COMP-MANAGEMENT-ROUTE,API-DEPARTMENTS-LIST,DB-WORKSPACE-DEPARTMENTS,TEST-API-LOCAL,DOC-MGMT-DEPT-CONTRACT,AGENT-COORDINATOR,medium,90,2026-05-24,verified,Fresh proof from MGMT-DEPT-001.,#api #departments
API-DEPARTMENTS-CREATE,POST /v1/departments,api_route,verified,backend,departments,management-department-catalog,Create custom workspace department linked to approved existing views.,src/modules/departments/departments.routes.ts,src/auth/capabilities.ts,FEAT-MGMT-DEPT-CATALOG,,DB-WORKSPACE-DEPARTMENTS,COMP-MANAGEMENT-ROUTE,COMP-MANAGEMENT-ROUTE,API-DEPARTMENTS-CREATE,DB-WORKSPACE-DEPARTMENTS,TEST-API-LOCAL,DOC-MGMT-DEPT-CONTRACT,AGENT-COORDINATOR,medium,85,2026-05-24,verified,Browser proof created 13 Marketing Lab.,#api #departments #write
API-DEPARTMENTS-UPDATE,PATCH /v1/departments/:id,api_route,verified,backend,departments,management-department-catalog,Update department metadata and linked views.,src/modules/departments/departments.routes.ts,src/auth/capabilities.ts,FEAT-MGMT-DEPT-CATALOG,,DB-WORKSPACE-DEPARTMENTS,COMP-MANAGEMENT-ROUTE,COMP-MANAGEMENT-ROUTE,API-DEPARTMENTS-UPDATE,DB-WORKSPACE-DEPARTMENTS,TEST-API-LOCAL,DOC-MGMT-DEPT-CONTRACT,AGENT-COORDINATOR,medium,80,2026-05-24,verified,Deeper API assertions remain follow-up.,#api #departments #write
API-OPERATIONS-WORK-ITEMS,GET /v1/operations/work-items,api_route,verified,backend,operations,operations-work-items,Read Operations work item packet.,src/modules/operations/operations.routes.ts,src/auth/capabilities.ts,FEAT-OPERATIONS-WORK-ITEMS,,DB-TASK,COMP-OPERATIONS-ROUTE,COMP-OPERATIONS-ROUTE,API-OPERATIONS-WORK-ITEMS,DB-TASK,TEST-API-LOCAL,DOC-OPS-WORK-ITEM-CONTRACT,AGENT-COORDINATOR,medium,90,2026-05-20,verified,Verified by API and render proof.,#api #operations
API-OPERATIONS-CREATE-WORK-ITEM,POST /v1/operations/work-items,api_route,verified,backend,operations,operations-work-items,Create Operations work item through domain route.,src/modules/operations/operations.routes.ts,src/modules/events/event.service.ts,FEAT-OPERATIONS-WORK-ITEMS,,DB-TASK,COMP-OPERATIONS-ROUTE,COMP-OPERATIONS-ROUTE,API-OPERATIONS-CREATE-WORK-ITEM,DB-TASK,TEST-API-LOCAL,DOC-OPS-WORK-ITEM-CONTRACT,AGENT-COORDINATOR,high,90,2026-05-20,verified,Emits operations_work_item_created event.,#api #operations #write
API-OPERATIONS-UPDATE-WORK-ITEM,PATCH /v1/operations/work-items/:id,api_route,verified,backend,operations,operations-work-items,Update Operations work item fields.,src/modules/operations/operations.routes.ts,src/modules/events/event.service.ts,FEAT-OPERATIONS-WORK-ITEMS,,DB-TASK,COMP-OPERATIONS-ROUTE,COMP-OPERATIONS-ROUTE,API-OPERATIONS-UPDATE-WORK-ITEM,DB-TASK,TEST-API-LOCAL,DOC-OPS-WORK-ITEM-CONTRACT,AGENT-COORDINATOR,high,90,2026-05-20,verified,Includes responsibility and schedule fields.,#api #operations #write
API-DASHBOARD-COMMAND,GET /v1/dashboard/command,api_route,verified,backend,dashboard,dashboard-command,Read owner command center packet.,src/modules/dashboard/dashboard.routes.ts,src/auth/capabilities.ts,FEAT-DASHBOARD-COMMAND,,DB-TASK;DB-WORKFORCE-ENTITY;DB-GOOGLE-DRIVE-FILE,COMP-GENERAL-DASHBOARD,COMP-GENERAL-DASHBOARD,API-DASHBOARD-COMMAND,DB-TASK;DB-WORKFORCE-ENTITY;DB-GOOGLE-DRIVE-FILE,TEST-API-LOCAL,DOC-DASHBOARD-CONTRACT,AGENT-COORDINATOR,medium,90,2026-05-20,verified,Read-only dashboard packet.,#api #dashboard
API-WORKFORCE-LIST,GET /v1/workforce,api_route,verified,backend,workforce,people-agents-directory,Read workforce roster.,src/modules/workforce/workforce.routes.ts,src/modules/workforce/workforce.service.ts,FEAT-PEOPLE-AGENTS-DIRECTORY,,DB-WORKFORCE-ENTITY,COMP-PEOPLE-AGENTS-ROUTE,COMP-PEOPLE-AGENTS-ROUTE,API-WORKFORCE-LIST,DB-WORKFORCE-ENTITY,TEST-API-LOCAL,DOC-PEOPLE-AGENTS-CONTRACT,AGENT-COORDINATOR,medium,90,2026-05-19,verified,People/Agents API proof exists.,#api #workforce
API-ASSETS-CONTEXT,GET /v1/assets/context,api_route,verified,backend,assets,assets-context,Read Assets context packet.,src/modules/assets/assets.routes.ts,src/auth/capabilities.ts,FEAT-ASSETS-CONTEXT,,DB-GOOGLE-DRIVE-FILE,COMP-ASSETS-ROUTE,COMP-ASSETS-ROUTE,API-ASSETS-CONTEXT,DB-GOOGLE-DRIVE-FILE,TEST-API-LOCAL,DOC-ASSETS-CONTEXT-CONTRACT,AGENT-COORDINATOR,medium,85,2026-05-17,tested,Production Drive freshness proof remains separate.,#api #assets
API-AUTO-0001,DELETE /v1/agents/:id,api_route,implemented,backend,agents,agents-coverage,Auto-scaffolded from manifest drift report.,src/modules/agents/agents.routes.ts,src/auth/capabilities.ts,FEAT-AUTO-0003,,,,,,,,,,,,2026-05-24,tested,Populate ownership and links before promotion to canonical registry.,#api #auto-scaffold #missing
API-AUTO-0002,DELETE /v1/clients/:id,api_route,implemented,backend,clients,clients-coverage,Auto-scaffolded from manifest drift report.,src/modules/clients/clients.routes.ts,src/auth/capabilities.ts,FEAT-AUTO-0004,,,,,,,,,,,,2026-05-24,tested,Populate ownership and links before promotion to canonical registry.,#api #auto-scaffold #missing
API-AUTO-0003,DELETE /v1/company-os/standards/:id,api_route,implemented,backend,company-os,company-os-coverage,Auto-scaffolded from manifest drift report.,src/modules/company-os/company-os.routes.ts,src/auth/capabilities.ts,FEAT-AUTO-0006,,,,,,,,,,,,2026-05-24,tested,Populate ownership and links before promotion to canonical registry.,#api #auto-scaffold #missing
API-AUTO-0004,DELETE /v1/deals/:id,api_route,implemented,backend,deals,deals-coverage,Auto-scaffolded from manifest drift report.,src/modules/deals/deals.routes.ts,src/auth/capabilities.ts,FEAT-AUTO-0008,,,,,,,,,,,,2026-05-24,tested,Populate ownership and links before promotion to canonical registry.,#api #auto-scaffold #missing
API-AUTO-0005,DELETE /v1/decisions/:id,api_route,implemented,backend,decisions,decisions-coverage,Auto-scaffolded from manifest drift report.,src/modules/decisions/decisions.routes.ts,src/auth/capabilities.ts,FEAT-AUTO-0009,,,,,,,,,,,,2026-05-24,tested,Populate ownership and links before promotion to canonical registry.,#api #auto-scaffold #missing
API-AUTO-0006,DELETE /v1/goals/:id,api_route,implemented,backend,goals,goals-coverage,Auto-scaffolded from manifest drift report.,src/modules/goals/goals.routes.ts,src/auth/capabilities.ts,FEAT-AUTO-0012,,,,,,,,,,,,2026-05-24,tested,Populate ownership and links before promotion to canonical registry.,#api #auto-scaffold #missing
API-AUTO-0007,DELETE /v1/integration-settings/clickup/webhooks/:id,api_route,implemented,backend,integration-settings,integration-settings-coverage,Auto-scaffolded from manifest drift report.,src/modules/integration-settings/integration-settings.routes.ts,src/auth/capabilities.ts,FEAT-AUTO-0015,,,,,,,,,,,,2026-05-24,tested,Populate ownership and links before promotion to canonical registry.,#api #auto-scaffold #missing
API-AUTO-0008,DELETE /v1/interactions/:id,api_route,implemented,backend,interactions,interactions-coverage,Auto-scaffolded from manifest drift report.,src/modules/interactions/interactions.routes.ts,src/auth/capabilities.ts,FEAT-AUTO-0016,,,,,,,,,,,,2026-05-24,tested,Populate ownership and links before promotion to canonical registry.,#api #auto-scaffold #missing
API-AUTO-0009,DELETE /v1/notes/:id,api_route,implemented,backend,notes,notes-coverage,Auto-scaffolded from manifest drift report.,src/modules/notes/notes.routes.ts,src/auth/capabilities.ts,FEAT-AUTO-0018,,,,,,,,,,,,2026-05-24,tested,Populate ownership and links before promotion to canonical registry.,#api #auto-scaffold #missing
API-AUTO-0010,DELETE /v1/operating-model/areas/:id,api_route,implemented,backend,operating-model,operating-model-coverage,Auto-scaffolded from manifest drift report.,src/modules/operating-model/operating-model.routes.ts,src/auth/capabilities.ts,FEAT-AUTO-0020,,,,,,,,,,,,2026-05-24,tested,Populate ownership and links before promotion to canonical registry.,#api #auto-scaffold #missing
API-AUTO-0011,DELETE /v1/operating-model/automation-definitions/:id,api_route,implemented,backend,operating-model,operating-model-coverage,Auto-scaffolded from manifest drift report.,src/modules/operating-model/operating-model.routes.ts,src/auth/capabilities.ts,FEAT-AUTO-0020,,,,,,,,,,,,2026-05-24,tested,Populate ownership and links before promotion to canonical registry.,#api #auto-scaffold #missing
API-AUTO-0012,DELETE /v1/operating-model/folders/:id,api_route,implemented,backend,operating-model,operating-model-coverage,Auto-scaffolded from manifest drift report.,src/modules/operating-model/operating-model.routes.ts,src/auth/capabilities.ts,FEAT-AUTO-0020,,,,,,,,,,,,2026-05-24,tested,Populate ownership and links before promotion to canonical registry.,#api #auto-scaffold #missing
API-AUTO-0013,DELETE /v1/operating-model/knowledge-roots/:id,api_route,implemented,backend,operating-model,operating-model-coverage,Auto-scaffolded from manifest drift report.,src/modules/operating-model/operating-model.routes.ts,src/auth/capabilities.ts,FEAT-AUTO-0020,,,,,,,,,,,,2026-05-24,tested,Populate ownership and links before promotion to canonical registry.,#api #auto-scaffold #missing
API-AUTO-0014,DELETE /v1/operating-model/storage-locations/:id,api_route,implemented,backend,operating-model,operating-model-coverage,Auto-scaffolded from manifest drift report.,src/modules/operating-model/operating-model.routes.ts,src/auth/capabilities.ts,FEAT-AUTO-0020,,,,,,,,,,,,2026-05-24,tested,Populate ownership and links before promotion to canonical registry.,#api #auto-scaffold #missing
API-AUTO-0015,DELETE /v1/pipeline-stages/:id,api_route,implemented,backend,pipeline-stages,pipeline-stages-coverage,Auto-scaffolded from manifest drift report.,src/modules/pipeline-stages/pipeline-stages.routes.ts,src/auth/capabilities.ts,FEAT-AUTO-0021,,,,,,,,,,,,2026-05-24,tested,Populate ownership and links before promotion to canonical registry.,#api #auto-scaffold #missing
API-AUTO-0016,DELETE /v1/projects/:id,api_route,implemented,backend,projects,projects-coverage,Auto-scaffolded from manifest drift report.,src/modules/projects/projects.routes.ts,src/auth/capabilities.ts,FEAT-AUTO-0022,,,,,,,,,,,,2026-05-24,tested,Populate ownership and links before promotion to canonical registry.,#api #auto-scaffold #missing
API-AUTO-0017,DELETE /v1/targets/:id,api_route,implemented,backend,targets,targets-coverage,Auto-scaffolded from manifest drift report.,src/modules/targets/targets.routes.ts,src/auth/capabilities.ts,FEAT-AUTO-0026,,,,,,,,,,,,2026-05-24,tested,Populate ownership and links before promotion to canonical registry.,#api #auto-scaffold #missing
API-AUTO-0018,DELETE /v1/task-lists/:id,api_route,implemented,backend,task-lists,task-lists-coverage,Auto-scaffolded from manifest drift report.,src/modules/task-lists/task-lists.routes.ts,src/auth/capabilities.ts,FEAT-AUTO-0027,,,,,,,,,,,,2026-05-24,tested,Populate ownership and links before promotion to canonical registry.,#api #auto-scaffold #missing
API-AUTO-0019,DELETE /v1/tasks/:id,api_route,implemented,backend,tasks,tasks-coverage,Auto-scaffolded from manifest drift report.,src/modules/tasks/tasks.routes.ts,src/auth/capabilities.ts,FEAT-AUTO-0028,,,,,,,,,,,,2026-05-24,tested,Populate ownership and links before promotion to canonical registry.,#api #auto-scaffold #missing
API-AUTO-0020,DELETE /v1/workforce/:id,api_route,implemented,backend,workforce,people-agents-directory,Auto-scaffolded from manifest drift report.,src/modules/workforce/workforce.routes.ts,src/auth/capabilities.ts,FEAT-PEOPLE-AGENTS-DIRECTORY,,,,,,DB-WORKFORCE-ENTITY,TEST-API-LOCAL,DOC-PEOPLE-AGENTS-CONTRACT,,,,2026-05-24,tested,Populate ownership and links before promotion to canonical registry.,#api #auto-scaffold #missing
API-AUTO-0021,GET /v1/agent-events,api_route,implemented,backend,agent-events,agent-events-coverage,Auto-scaffolded from manifest drift report.,src/modules/agent-events/agent-events.routes.ts,src/auth/capabilities.ts,FEAT-AUTO-0001,,,,,,,,,,,,2026-05-24,tested,Populate ownership and links before promotion to canonical registry.,#api #auto-scaffold #missing
API-AUTO-0022,GET /v1/agent-logs,api_route,implemented,backend,agent-logs,agent-logs-coverage,Auto-scaffolded from manifest drift report.,src/modules/agent-logs/agent-logs.routes.ts,src/auth/capabilities.ts,FEAT-AUTO-0002,,,,,,,,,,,,2026-05-24,tested,Populate ownership and links before promotion to canonical registry.,#api #auto-scaffold #missing
API-AUTO-0023,GET /v1/agent-logs/:id,api_route,implemented,backend,agent-logs,agent-logs-coverage,Auto-scaffolded from manifest drift report.,src/modules/agent-logs/agent-logs.routes.ts,src/auth/capabilities.ts,FEAT-AUTO-0002,,,,,,,,,,,,2026-05-24,tested,Populate ownership and links before promotion to canonical registry.,#api #auto-scaffold #missing
API-AUTO-0024,GET /v1/agents,api_route,implemented,backend,agents,agents-coverage,Auto-scaffolded from manifest drift report.,src/modules/agents/agents.routes.ts,src/auth/capabilities.ts,FEAT-AUTO-0003,,,,,,,,,,,,2026-05-24,tested,Populate ownership and links before promotion to canonical registry.,#api #auto-scaffold #missing
API-AUTO-0025,GET /v1/agents/:id,api_route,implemented,backend,agents,agents-coverage,Auto-scaffolded from manifest drift report.,src/modules/agents/agents.routes.ts,src/auth/capabilities.ts,FEAT-AUTO-0003,,,,,,,,,,,,2026-05-24,tested,Populate ownership and links before promotion to canonical registry.,#api #auto-scaffold #missing
