id,name,type,status,layer,module,feature,description,file_path,related_files,parent_id,child_ids,depends_on,used_by,ui_related,api_related,database_related,tests_related,docs_related,agent_related,risk_level,completion_percent,last_verified_at,verification_status,notes,tags
FEAT-ARCH-EVIDENCE-SYSTEM,Architecture Evidence System,feature,implemented,governance,architecture,architecture-evidence,CSV-first architecture evidence and graph generation system.,docs/architecture/architecture-evidence-system.md,docs/architecture/nodes/nodes.csv;scripts/generate-architecture-graph.mjs,,DOC-ARCH-EVIDENCE-SYSTEM;SCRIPT-ARCH-GRAPH-GENERATOR,DOC-ARCH-SOURCE-OF-TRUTH,AGENT-COORDINATOR,,,,TEST-ARCH-GRAPH,DOC-ARCH-EVIDENCE-SYSTEM,AGENT-COORDINATOR,medium,45,2026-05-24,tested,Foundation is created; automated full-repo extraction remains next.,#feature #architecture #graph
FEAT-MGMT-DEPT-CATALOG,Management Department Catalog,feature,verified,full-stack,management,management-department-catalog,Workspace-scoped department catalog and linked-view shell system.,docs/planning/management-department-catalog-task-contract.md,src/modules/departments/departments.routes.ts;web/src/features/departments/management-route.tsx;web/src/layout/shell.tsx,,API-DEPARTMENTS-LIST;API-DEPARTMENTS-CREATE;API-DEPARTMENTS-UPDATE;DB-WORKSPACE-DEPARTMENTS;COMP-MANAGEMENT-ROUTE,DOC-DMS-ARCH,COMP-SHELL,COMP-MANAGEMENT-ROUTE,API-DEPARTMENTS-LIST,DB-WORKSPACE-DEPARTMENTS,TEST-API-LOCAL;TEST-BROWSER-MGMT-DEPT,DOC-MGMT-DEPT-CONTRACT,AGENT-COORDINATOR,medium,90,2026-05-24,verified,Dedicated API subtests are a later hardening slice.,#feature #management
FEAT-OPERATIONS-WORK-ITEMS,Operations Work Items,feature,verified,full-stack,operations,operations-work-items,Operations work-management packet and domain create/update commands.,docs/planning/dashboard-operations-workforce-foundation-task-contract.md,src/modules/operations/operations.routes.ts;web/src/features/departments/operations-route.tsx;prisma/schema.prisma,,API-OPERATIONS-WORK-ITEMS;API-OPERATIONS-CREATE-WORK-ITEM;API-OPERATIONS-UPDATE-WORK-ITEM;DB-TASK;COMP-OPERATIONS-ROUTE,DOC-DMS-ARCH,COMP-SHELL,COMP-OPERATIONS-ROUTE,API-OPERATIONS-WORK-ITEMS,DB-TASK,TEST-API-LOCAL;TEST-PLAYWRIGHT-OPS,DOC-OPS-WORK-ITEM-CONTRACT,AGENT-COORDINATOR,medium,90,2026-05-20,verified,Provider calendar creation remains future command scope.,#feature #operations
FEAT-DASHBOARD-COMMAND,Dashboard Command Packet,feature,verified,full-stack,dashboard,dashboard-command,Read-only command packet for owner dashboard signals and next actions.,docs/planning/dashboard-operations-workforce-foundation-task-contract.md,src/modules/dashboard/dashboard.routes.ts;web/src/features/departments/general-dashboard.tsx,,API-DASHBOARD-COMMAND;COMP-GENERAL-DASHBOARD,DOC-DMS-ARCH,COMP-SHELL,COMP-GENERAL-DASHBOARD,API-DASHBOARD-COMMAND,DB-TASK;DB-WORKFORCE-ENTITY;DB-GOOGLE-DRIVE-FILE,TEST-API-LOCAL;TEST-PLAYWRIGHT-DASHBOARD,DOC-DASHBOARD-CONTRACT,AGENT-COORDINATOR,medium,90,2026-05-20,verified,Dashboard write actions must route through domain surfaces.,#feature #dashboard
FEAT-PEOPLE-AGENTS-DIRECTORY,People and Agents Directory,feature,verified,full-stack,workforce,people-agents-directory,Unified workforce roster and People/Agents management surface.,docs/planning/people-agents-directory-premium-ux-task-contract.md,src/modules/workforce/workforce.routes.ts;web/src/features/departments/people-agents-route.tsx;prisma/schema.prisma,,API-WORKFORCE-LIST;DB-WORKFORCE-ENTITY;COMP-PEOPLE-AGENTS-ROUTE,DOC-UNIFIED-ORG,COMP-SHELL,COMP-PEOPLE-AGENTS-ROUTE,API-WORKFORCE-LIST,DB-WORKFORCE-ENTITY,TEST-API-LOCAL;TEST-PLAYWRIGHT-PEOPLE,DOC-PEOPLE-AGENTS-CONTRACT,AGENT-COORDINATOR,medium,90,2026-05-19,verified,Production smoke remains after deploy.,#feature #workforce #agents
FEAT-ASSETS-CONTEXT,Assets Context Workbench,feature,verified,full-stack,assets,assets-context,Assets files/folders and Google Drive context workbench.,docs/planning/cc-08-002-assets-context-read-api-task-contract.md,src/modules/assets/assets.routes.ts;web/src/features/departments/assets-route.tsx;prisma/schema.prisma,,API-ASSETS-CONTEXT;DB-GOOGLE-DRIVE-FILE;COMP-ASSETS-ROUTE,DOC-DMS-ARCH,COMP-SHELL,COMP-ASSETS-ROUTE,API-ASSETS-CONTEXT,DB-GOOGLE-DRIVE-FILE,TEST-API-LOCAL;TEST-PLAYWRIGHT-ASSETS,DOC-ASSETS-CONTEXT-CONTRACT,AGENT-COORDINATOR,medium,85,2026-05-17,tested,Full production content/write/freshness proof remains separate.,#feature #assets #drive
FEAT-AUTO-0001,Agent Events Coverage Expansion,feature,implemented,full-stack,agent-events,agent-events-coverage,Auto-generated feature grouping for agent-events API coverage expansion.,docs/architecture/architecture-evidence-system.md,src/modules/agent-events/agent-events.routes.ts,,,DOC-ARCH-EVIDENCE-SYSTEM,AGENT-COORDINATOR,,,,TEST-API-LOCAL,DOC-ARCH-EVIDENCE-SYSTEM,AGENT-COORDINATOR,medium,50,2026-05-24,tested,Auto-generated by feature coverage sync; refine links and status per module evidence.,#feature #auto-scaffold #coverage-expansion
FEAT-AUTO-0002,Agent Logs Coverage Expansion,feature,implemented,full-stack,agent-logs,agent-logs-coverage,Auto-generated feature grouping for agent-logs API coverage expansion.,docs/architecture/architecture-evidence-system.md,src/modules/agent-logs/agent-logs.routes.ts,,,DOC-ARCH-EVIDENCE-SYSTEM,AGENT-COORDINATOR,,,,TEST-API-LOCAL,DOC-ARCH-EVIDENCE-SYSTEM,AGENT-COORDINATOR,medium,50,2026-05-24,tested,Auto-generated by feature coverage sync; refine links and status per module evidence.,#feature #auto-scaffold #coverage-expansion
FEAT-AUTO-0003,Agents Coverage Expansion,feature,implemented,full-stack,agents,agents-coverage,Auto-generated feature grouping for agents API coverage expansion.,docs/architecture/architecture-evidence-system.md,src/modules/agents/agents.routes.ts,,,DOC-ARCH-EVIDENCE-SYSTEM,AGENT-COORDINATOR,,,,TEST-API-LOCAL,DOC-ARCH-EVIDENCE-SYSTEM,AGENT-COORDINATOR,medium,50,2026-05-24,tested,Auto-generated by feature coverage sync; refine links and status per module evidence.,#feature #auto-scaffold #coverage-expansion
FEAT-AUTO-0004,Clients Coverage Expansion,feature,implemented,full-stack,clients,clients-coverage,Auto-generated feature grouping for clients API coverage expansion.,docs/architecture/architecture-evidence-system.md,src/modules/clients/clients.routes.ts,,,DOC-ARCH-EVIDENCE-SYSTEM,AGENT-COORDINATOR,,,,TEST-API-LOCAL,DOC-ARCH-EVIDENCE-SYSTEM,AGENT-COORDINATOR,medium,50,2026-05-24,tested,Auto-generated by feature coverage sync; refine links and status per module evidence.,#feature #auto-scaffold #coverage-expansion
