entity_path,doc_path,reason
src/app.ts#/google-drive,docs/planning/luc-1007-google-drive-route-readback.md,The protected google-drive mount in app.ts and its mounted /v1/google-drive endpoint family are documented in the focused LUC-1007 route readback.
src/app.ts#/api/build-info,docs/API.md,The public build metadata aliases document that /api/build-info reuses the safe health-style runtime metadata contract and stays outside the API-key guard on both compatibility hosts.
src/app.ts#/health,docs/API.md,The public health aliases document that /health and /v1/health stay outside the API-key guard together with /ready /v1/ready and /api/build-info while exposing only safe runtime metadata on both API and web host compatibility surfaces.
src/app.ts#/agents,docs/API.md,The agents mount in app.ts and its mounted /agents and /v1/agents endpoint family are documented in the API contract.
src/app.ts#/clients,docs/API.md,The clients mount in app.ts and its mounted /clients and /v1/clients endpoint family are documented in the API contract.
src/app.ts#/deals,docs/API.md,The deals mount in app.ts and its mounted /deals and /v1/deals endpoint family are documented in the API contract.
src/app.ts#/decisions,docs/API.md,The decisions mount in app.ts and its mounted /decisions and /v1/decisions endpoint family are documented in the API contract including workspace scoping project visibility archive-on-delete semantics and emitted lifecycle events.
src/app.ts#/departments,docs/API.md,The departments mount in app.ts and its mounted /departments and /v1/departments endpoint family are documented in the API contract including default catalog hydration workspace scoping approved linked-view validation and shared sidebar/catalog response semantics.
src/app.ts#/events,docs/API.md,The events mount in app.ts and its mounted /events and /v1/events endpoint family are documented in the API contract including auth-derived workspace scoping read-only access and newest-first event ordering.
src/app.ts#/goals,docs/API.md,The goals mount in app.ts and its mounted /goals and /v1/goals endpoint family are documented in the API contract including workspace-scoped newest-first reads related process hydration workspace-visible project and process validation archive-on-delete semantics and emitted lifecycle events.
src/integrations/google-drive/google-drive.auth.ts#buildGoogleDriveAuthorizationUrl,docs/planning/google-drive-v2-task-contracts.md,Google Drive OAuth URL generation and workspace OAuth client credential behavior are documented in the accepted Google Drive V2 task contract.
src/integrations/google-drive/google-drive.auth.ts#exchangeGoogleDriveAuthorizationCode,docs/planning/google-drive-v2-task-contracts.md,Google Drive OAuth token exchange and workspace OAuth client credential behavior are documented in the accepted Google Drive V2 task contract.
src/integrations/google-drive/google-drive.auth.ts#getFreshGoogleDriveOAuthForWorkspace,docs/planning/google-drive-v2-task-contracts.md,Google Drive OAuth freshness checking token refresh and refreshed workspace OAuth material persistence are documented in the accepted Google Drive V2 task contract.
src/integrations/google-drive/google-drive.auth.ts#hasFreshAccessToken,docs/planning/google-drive-v2-task-contracts.md,Google Drive OAuth freshness predicate behavior is documented in the accepted Google Drive V2 task contract.
src/integrations/google-drive/google-drive.auth.ts#getGoogleDriveClientForWorkspace,docs/planning/google-drive-v2-task-contracts.md,Google Drive workspace client construction after fresh OAuth access-token retrieval is documented in the accepted Google Drive V2 task contract.
src/integrations/google-drive/google-drive.auth.ts#getGoogleOAuthClient,docs/planning/google-drive-v2-task-contracts.md,Google Drive OAuth client credential resolution from workspace settings with environment fallback is documented in the accepted Google Drive V2 task contract.
src/integrations/google-drive/google-drive.auth.ts#getStoredGoogleDriveSecret,docs/planning/google-drive-v2-task-contracts.md,Google Drive stored workspace OAuth secret lookup and encrypted credential retrieval are documented in the accepted Google Drive V2 task contract.
src/integrations/google-drive/google-drive.auth.ts#mergeGoogleDriveConfig,docs/planning/google-drive-v2-task-contracts.md,Google Drive workspace configuration merge behavior for selected folders shared drives sync mode import mode and stored OAuth metadata is documented in the accepted Google Drive V2 task contract.
src/integrations/google-drive/google-drive.auth.ts#normalizeTokenResponse,docs/planning/google-drive-v2-task-contracts.md,Google Drive OAuth token normalization for refresh-token fallback access-token expiry mapping and stored workspace OAuth client metadata is documented in the accepted Google Drive V2 task contract.
src/integrations/google-drive/google-drive.auth.ts#postGoogleOAuthToken,docs/planning/google-drive-v2-task-contracts.md,Google Drive OAuth token POST request behavior invalid-token rejection mapping and workspace OAuth client credential usage are documented in the accepted Google Drive V2 task contract.
src/integrations/google-drive/google-drive.auth.ts#refreshGoogleDriveOAuth,docs/planning/google-drive-v2-task-contracts.md,Google Drive OAuth refresh-token exchange refreshed secret persistence and workspace OAuth client credential reuse are documented in the accepted Google Drive V2 task contract.
src/integrations/integration-settings.service.ts#parseGoogleDriveOAuthSecret,docs/planning/google-drive-v2-task-contracts.md,Google Drive encrypted OAuth secret storage backend-only decrypt access fail-open or fail-closed parsing and workspace credential reuse are documented in the accepted Google Drive V2 task contract.
src/modules/company-os/company-os.routes.ts#authActor,docs/planning/company-os-stage1-task-contracts.md,Company OS approval request and decision command contracts document authenticated actor attribution for approval lifecycle commands and their required audit and event evidence.
src/modules/intake/intake.routes.ts#authActor,docs/API.md,Intake route proposal commands document bearer-owner versus API-key actor attribution for route proposal audit and event evidence without mutating the source intake item.
src/modules/company-os/workflow-definition-drafts.routes.ts#authActor,docs/API.md,Company OS workflow definition draft commands document auth-derived actor capture for draft writes plus the emitted workflow-definition events and matching audit evidence.
src/modules/workspaces/workspaces.routes.ts#requireUserAuth,docs/API.md,The workspace API contract documents that list create and select routes require bearer-user auth deny service API keys fail closed and mint fresh workspace-scoped tokens only after user membership checks.
src/modules/workforce/workforce.service.ts#entityAuthority,docs/API.md,The workforce directory API contract documents the read-only authority packet for human and agent workforce rows including authority modes recommended profiles supported capability samples and blocked actions.
web/src/api/auth-token.ts#ownerToken,docs/API.md,The auth API contract documents that ownerToken reads the current bearer token from the session-scoped companycoreOwnerToken storage key so frontend auth requests and route guards reuse the active bearer session without a duplicate cache.
web/src/api/auth-token.ts#setOwnerToken,docs/API.md,The auth API contract documents that setOwnerToken stores the current bearer token in the session-scoped companycoreOwnerToken storage key after successful auth or workspace selection so later frontend requests reuse the active bearer session.
web/src/api/auth-token.ts#clearOwnerToken,docs/API.md,The auth API contract documents that frontend bearer auth stays in sessionStorage and clearOwnerToken removes the current session token during sign-out or auth reset so stale bearer auth cannot be reused.
web/src/api/auth-token.ts#isSignedIn,docs/API.md,The auth API contract documents that frontend signed-in UI state is derived directly from the session-scoped bearer token in sessionStorage instead of a separate cached auth flag.
src/modules/dashboard,docs/API.md,The dashboard command-center API contract documents the workspace-scoped read-only owner summary packet including normalized counts priority items next actions department signals and blocked write actions for the dashboard module family.
src/modules/dashboard/dashboard.routes.ts,docs/API.md,The dashboard command-center API contract documents the protected `/v1/dashboard/command` and compatibility `/dashboard/command` route behavior including workspace scoping summary aggregation department signal derivation and read-only agent packet semantics.
src/modules/dashboard/dashboard.routes.ts#coerceCount,docs/API.md,The dashboard command-center API contract documents that null or missing dashboard counts are normalized to zero before summary totals and route pressures are aggregated.
src/modules/dashboard/dashboard.routes.ts#pickHealth,docs/API.md,The dashboard command-center API contract documents that dashboard department health resolves to ready only when the routed pressure count is zero and otherwise preserves the requested watch or blocked state.
src/modules/dashboard/dashboard.routes.ts#riskRank,docs/API.md,The dashboard command-center API contract documents that only high and critical active risks are escalated into the critical dashboard risk set.
src/modules/dashboard/dashboard.routes.ts#startOfToday,docs/API.md,The dashboard command-center API contract documents that overdue dashboard tasks are classified using a strict due-date boundary earlier than the current local start of day.
src/modules/dashboard/dashboard.routes.ts#startOfTomorrow,docs/API.md,The dashboard command-center API contract documents that due-today dashboard tasks are classified inside the inclusive start-of-today and exclusive start-of-tomorrow window.
src/modules/dashboard/dashboard.routes.ts#sumCounts,docs/API.md,The dashboard command-center API contract documents that dashboard summary totals and routing pressures are computed from normalized count aggregates across task provider Drive workforce and mapping signals.
src/modules/strategy,docs/API.md,The Strategy context API contract documents the workspace-scoped read-only Strategy packet including normalized decision-log options strategic knowledge and Drive filtering strategic task selection and blocked write actions for the backend module family.
src/modules/strategy/strategy.routes.ts,docs/API.md,The Strategy context API contract documents the protected `/v1/strategy/context` route behavior including workspace scoping read-only packet aggregation strategic content filtering and agent-packet fail-closed write boundaries.
src/modules/strategy/strategy.routes.ts#asJsonArray,docs/API.md,The Strategy context API contract documents that `decisionLogs[].optionsConsidered` always returns an array and non-array stored JSON values are normalized to an empty array before the packet is returned.
src/modules/strategy/strategy.routes.ts#textMatchesStrategy,docs/API.md,The Strategy context API contract documents that strategy knowledge and Drive discovery reuse shared keyword matching across titles summaries item types file names descriptions and mime types.
src/modules/strategy/strategy.routes.ts#taskLooksStrategic,docs/API.md,The Strategy context API contract documents that strategic follow-up tasks are selected from recent task titles and descriptions using the shared Strategy keyword matcher before the response summary and tasks list are built.
